default,Identifier,Remarks,hu,it,es esm
CONTROLS,OB_MO_CONTROLS_TITLE,,BOTONI,COMANDI,LLAMES
INPUT BINDS,OB_MO_INPUTBINDS,,CAMBIA I BOTONI,CAMBIA I COMANDI,CAMBIAR LAS LLAVES
MOUSE OPTIONS,OB_MO_MOUSESETTINGS,,OPZIONI DEL MAUS,OPZIONI DEL MOUSE,OPCIONES DEL MOUSE
GAMEPAD OPTIONS,OB_MO_GAMEPADSETTINGS,,OPZIONI DEL GIOISTIC,OPZIONI DEL JOYSTICK,OPCIONES DEL JOYSTICK
,,,,,
LANGUAGE,OPTMNU_LANGUAGE,,LINGUAGGIO,LINGUA,IDIOMA
,,,,,
YOU FOUND A SECRET!,SECRETMESSAGE,,E' TROVETO N SEGRETO!,HAI TROVATO N SEGRETO!,¡Lugar secreto descubierto!
,,,,,
OLD TESTAMENT,WPN_ANTICOTESTAMENTO,,VECCHIO TESTAMENTO,ANTICO TESTAMENTO,ANTIGUO TESTAMENTO 
BLASPHEMATOR,WPN_BASTIGNATORE,,BASTIGNATORE,BASTONE BESTEMMIATORE,BASTIGNADOR
BENELLI SUPER 90,WPN_BENELLI90,,BENELLI SUPER 90,BENELLI SUPER 90,BENELLI SUPER 90
EVISCERATOR,WPN_BISTURI,,BISTURI,BISTURI,BISTURI
RUSTY KNIFE,WPN_CORTELLACCIO,,CORTELLACCIO,COLTELLACCIO,CUCHILLO
DUAL CANNONES,WPN_CPORTABLE_DUAL,,CANNELLONI,DOPPIO CANNONE,CANNELLONES
CANNON,WPN_CPORTABLE,,CANNELLONE,CANNONE,CANNELLON
DUAL DESERT EAGLES,WPN_DEAGLE_DUAL,,DU PISTOLONI,DOPPIE PISTOLONE,PISTOLONES
DESERT EAGLE,WPN_DESERTEAGLE,,PISTOLONA,PISTOLONA,PISTOLON
DOUBLE SUPER SHOTGUNS,WPN_DOPPIETTA_DUAL,,DOPPIO SCHIOPPO,DOPPIA DOPPIETTA,doble doppietta
SUPER SHOTGUN,WPN_DOPPIETTA,,SCHIOPPO,DOPPIETTA,doppietta
DOUBLE DICK,WPN_DOPPIOCAZZO,,STOCAZZO,DOPPIOCAZZO,cono
DOUBLE SCIENCE PISTOL,WPN_GAUSS2_DUAL,,PISTOLE LASER,PISTOLE LASER,DOBLE PISTOLA LASER
SCIENCE PISTOL,WPN_GAUSS2,,PISTOLA LASER,PISTOLA LASER,PISTOLA LASER
DOUBLE KNIFE-LAUNCHER,WPN_LANCIACOLTELLI_DUAL,,DOPPIO SPARACORTELLI,DOPPIO LANCIACOLTELLI,doble lanza cuchillos
KNIFE-LAUNCHER,WPN_LANCIACOLTELLI,,SPARACORTELLI,LANCIACOLTELLI,lanza cuchillos
RATZINGER-LAUNCHER,WPN_LANCIARATZINGER,,LANCIA-RATZINGER,LANCIA-RATZINGER,lanza-ratzinger
MILAN RPG,WPN_LANCIARAZZI,,LANCIAMISSILI DEL MILAN,LANCIAMISSILI DEL MILAN,lanzamisiles
DUAL M16,WPN_M16_DUAL,,DOPPIO MITRA,DOPPIO MITRA,doble ametralladora americana
M16,WPN_M16,,MITRA,MITRA,ametralladora americana
